http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.megabytes.QT.%29+OR+.QT.kilobytes.QT.%29+OR+.QT.gigabytes.QT.%29+OR+.QT.bytes.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/22/2015 19:05,"(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System)",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.megabytes.QT.%29+OR+.QT.kilobytes.QT.%29+OR+.QT.gigabytes.QT.%29+OR+.QT.bytes.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/22/2015 19:05,"(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System)",IEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
Bayesian Neural Networks for Internet Traffic Classification,"Auld, T.; Moore, A.W.; Gull, S.F.","Dept. of Phys., Cambridge Univ.","Neural Networks, IEEE Transactions on",20070102,2007,18,1,223,239,"Internet traffic identification is an important tool for network management. It allows operators to better predict future traffic matrices and demands, security personnel to detect anomalous behavior, and researchers to develop more realistic traffic models. We present here a traffic classifier that can achieve a high accuracy across a range of application types without any source or destination host-address or port information. We use supervised machine learning based on a Bayesian trained neural network. Though our technique uses training data with categories derived from packet content, training and testing were done using features derived from packet streams consisting of one or more packet headers. By providing classification without access to the contents of packets, our technique offers wider application than methods that require full packet/payloads for classification. This is a powerful advantage, using samples of classified traffic to permit the categorization of traffic based only upon commonly available information",1045-9227,,,10.1109/TNN.2006.883010,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4049810,Internet traffic;network operations;neural network applications;pattern recognition;traffic identification,Bayesian methods;IP networks;Information security;Machine learning;Neural networks;Personnel;Predictive models;Telecommunication traffic;Traffic control;Training data,Internet;belief networks;computer network management;learning (artificial intelligence);neural nets;pattern classification;telecommunication traffic,Bayesian neural networks;Internet traffic classification;network management;pattern recognition;supervised machine learning,"Algorithms;Bayes Theorem;Cluster Analysis;Computer Security;Information Storage and Retrieval;Internet;Neural Networks (Computer);Pattern Recognition, Automated;Signal Processing, Computer-Assisted",73,2,41,,,Jan. 2007,,IEEE,IEEE Journals & Magazines,
Malware analysis using reverse engineering and data mining tools,"Burji, S.; Liszka, K.J.; Chan, C.","Dept. of Comput. Sci., Univ. of Akron, Akron, OH, USA","System Science and Engineering (ICSSE), 2010 International Conference on",20100819,2010,,,619,624,"One challenge in malware analysis involves collecting useful data without risking experimenters' machines or systems. Static analysis of malware codebases is valuable in providing insights on malware development mechanisms, however, it cannot provide understanding in dynamic profiling of executable codes. In this paper, we present a case study of the well-known Nugache worm using existing reverse engineering tools to collect data from malwares running in a closed-lab environment. Useful dynamic patterns of malwares are generated by using a rough set based machine learning tool. The proposed approach can be used for the study of malware behaviors in a safe and pedagogical environment. The dynamic patterns generated by data mining tools may provide insights for specifying similarity measures used by network level Intrusion Detection Systems.",,978-1-4244-6472-2,,10.1109/ICSSE.2010.5551719,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5551719,P2P;botnet;data mining;malware;reverse engineering,Internet,data analysis;data mining;invasive software;learning (artificial intelligence);reverse engineering;rough set theory,Nugache worm;data mining;malware analysis;malware development mechanisms;network level intrusion detection systems;reverse engineering;rough set based machine learning tool,,4,,19,,,1-3 July 2010,,IEEE,IEEE Conference Publications,
Principle components analysis and Support Vector Machine based Intrusion Detection System,"Eid, H.F.; Darwish, A.; ella Hassanien, A.; Abraham, A.","Fac. of Sci., Al-Azhar Univ., Cairo, Egypt","Intelligent Systems Design and Applications (ISDA), 2010 10th International Conference on",20110113,2010,,,363,367,"Intrusion Detection System (IDS) is an important and necessary component in ensuring network security and protecting network resources and infrastructures. In this paper, we effectively introduced intrusion detection system by using Principal Component Analysis (PCA) with Support Vector Machines (SVMs) as an approach to select the optimum feature subset. We verify the effectiveness and the feasibility of the proposed IDS system by several experiments on NSL-KDD dataset. A reduction process has been used to reduce the number of features in order to decrease the complexity of the system. The experimental results show that the proposed system is able to speed up the process of intrusion detection and to minimize the memory space and CPU time cost.",,978-1-4244-8134-7,,10.1109/ISDA.2010.5687239,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5687239,Feature selection;Intrusion detection system;Network security;Principal component analysis(PCA);Support Vector Machines (SVMs),,principal component analysis;security of data;support vector machines,CPU time cost;NSL-KDD dataset;intrusion detection system;memory space;network resource protection;network security;principle components analysis;reduction process;support vector machine;system complexity,,1,,25,,,Nov. 29 2010-Dec. 1 2010,,IEEE,IEEE Conference Publications,
Application of data mining on the design of intrusion detection system,Chang Zhen-yun; Du Yan-fang,"Tianjin Tianshi Coll., Tianjin, China","Electronics, Communications and Control (ICECC), 2011 International Conference on",20111103,2011,,,1890,1893,"In order to decrease the number of misclassification of attacks, the application of data mining technology on the intrusion detection was studied in depth. Firstly, the study background was introduced, and then the basic theory of intrusion detection system was analyzed, and then the basic theory of data mining technology was discussed and the mode of data mining was established, and the algorithm was designed, and finally the simulation analysis was carried out, and the results showed that this method had a good precious.",,978-1-4577-0320-1,,10.1109/ICECC.2011.6066693,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6066693,data mining;intrusion detection system;simulation,Analytical models;Association rules;Clustering algorithms;Databases;Intrusion detection;Joints,data mining;security of data,attacks misclassification;data mining;intrusion detection system,,0,,4,,,9-11 Sept. 2011,,IEEE,IEEE Conference Publications,
Efficient fingerprint extraction for high performance Intrusion Detection System,"Haiyang Jiang; Gaogang Xie; Salamatian, K.","Inst. of Comput. Technol., Beijing, China","Computers and Communications (ISCC), 2013 IEEE Symposium on",20140306,2013,,,179,184,"Deep Packet Inspection (DPI) module in Intrusion Detection Systems (IDSes) consists of two components: Pre-filter and Rule Verification (RV). Pre-filter adopts Multi-Pattern Matching (MPM) engine to filter out the vast majority of benign packets and then leave a few suspicious packets with false positives into RV component. These false positives are due to the scanning process in the pre-filter: it detects the traffic in a single pass against a set of fingerprints, which are extracted from the given ruleset by selecting only a small portion of the patterns in each signature. RV component precisely checks the suspicious packets and eliminates these false positives. The performance of DPI module is related to the extracted fingerprint set. An efficient fingerprint set should improve the pre-filter throughput, and at the same time decrease the count of checking activities in RV component. We show in this paper that these two requirements cannot be simultaneously satisfied in the existing fingerprint extraction strategies. Pre-filter performance greatly benefits from smaller fingerprint set because of the more compact MPM engine. But RV component suffers from the higher rate of false positives caused by the smaller fingerprint set. We optimally trade off these two requirements with a new extraction method in this work. Through analysing a small amount of training traffic in the initial phase, our strategy gives each fingerprint candidate an empirical weight for the subsequent extraction. Experimental results obtained by integrating our proposed method into the Snort IDS show that our strategy improves the IDS average throughput by at least 69% over the latest real ruleset and real traffic.",,,,10.1109/ISCC.2013.6754942,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6754942,Fingerprint;Intrusion Detection System;Pre-filter;Snort,Filtering;Fingerprint recognition;Indium phosphide;Inspection;TV,feature extraction;fingerprint identification;security of data,MPM engine;RV component;Snort IDS;fingerprint extraction strategies;high performance intrusion detection system;prefilter component;rule verification component,,0,,19,,,7-10 July 2013,,IEEE,IEEE Conference Publications,
Anomaly Intrusion Detection System Using Gaussian Mixture Model,"Bahrololum, M.; Khaleghi, M.","Iran Telecommun. Res. Center, Tehran","Convergence and Hybrid Information Technology, 2008. ICCIT '08. Third International Conference on",20081118,2008,1,,1162,1167,"Intrusion detection systems have been widely used to overcome security threats in computer networks and to identify unauthorized use, misuse, and abuse of computer systems. Anomaly-based approaches in intrusion detection systems have the advantage of being able to detect unknown attacks; they look for patterns that deviate from the normal behavior. We have proposed an approach of anomaly intrusion detection system by using Gaussian mixture model. This method learns patterns of normal and intrusive activities to classify that use a set of Gaussian probability distribution functions. The use of maximum likelihood in detection phase has used the deviation between current and reference behavior. GMM is evaluated by dataset KDD99 without any special hardware requirements. Experimental results show that this method is able to reducing the missing alarm. Moreover, this model is a fast method for detecting the unknown attacks.",,978-0-7695-3407-7,,10.1109/ICCIT.2008.17,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4682192,Anomaly detection;Gaussian Mixture Model;Intrusion Detection;Pattern Matching,Computer networks;Computer security;Databases;Intrusion detection;Maximum likelihood detection;Phase detection;Probability distribution;Probes;Telecommunication traffic;Traffic control,Gaussian distribution;maximum likelihood detection;security of data,Gaussian mixture model;Gaussian probability distribution;anomaly intrusion detection system;computer network;maximum likelihood detection;security threat,,2,,9,,,11-13 Nov. 2008,,IEEE,IEEE Conference Publications,
Kernel based intrusion detection system,Byung-joo Kim; Il-kon Kim,"Dept. of Inf. & Comm., Youngsan Univ., Yangsan, South Korea","Computer and Information Science, 2005. Fourth Annual ACIS International Conference on",20060418,2005,,,13,18,"Recently, applying artificial intelligence, machine learning and data mining techniques to intrusion detection system are increasing. But most of researches are focused on improving the performance of classifier. Selecting important features from input data lead to a simplification of the problem, faster and more accurate detection rates. Thus, selecting important features is an important issue in intrusion detection. Another issue in intrusion detection is that most of the intrusion detection systems are performed by off-line and it is not proper method for realtime intrusion detection system. In this paper, we develop the realtime intrusion detection system which combines on-line feature extraction method with least squares support vector machine classifier. Applying proposed system to KDD CUP 99 data, experimental results show that it has remarkable performance compared to off-line intrusion detection system.",,0-7695-2296-3,,10.1109/ICIS.2005.78,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1515368,,Artificial intelligence;Computer science;Data mining;Feature extraction;Intrusion detection;Kernel;Least squares methods;Machine learning;Principal component analysis;Support vector machines,feature extraction;least squares approximations;pattern classification;real-time systems;security of data;support vector machines,KDD CUP 99 data;artificial intelligence;data mining;kernel based intrusion detection system;least squares support vector machine classifier;machine learning;off-line intrusion detection system;on-line feature extraction;realtime system,,2,,18,,,2005,,IEEE,IEEE Conference Publications,
Evaluation effectiveness of intrusion detection system with reduced dimension using data mining classification tools,"Kezih, M.; Taibi, M.","Lab. LASA, Univ. Badji-Mokhtar Annaba Algerie, Annaba, Algeria","Systems and Computer Science (ICSCS), 2013 2nd International Conference on",20131017,2013,,,205,209,"Intrusions detections systems from point of view of security policy are a second line of defense; they have a supervisory role to observe the activities of our network or hosts to identify attacks in real time. In our days, electronics attacks can cause a very destructive damage for nations which make necessary the use of completed security policy to minimize the potential threats. IDS it is a very important element to resist against this vulnerability, in our works, we use a wired data base Knowledge Discovery Data Mining (KDD) CUP 99 and a Data Mining Tools Waikato Environment for Knowledge Analysis (WEKA) to combine the advantages of an intrusion detection algorithm (PART) and two techniques of Dimensionality Reduction(best first search and genetic search), to evaluate our works, we applied the proposed combined technique, and we check the results by using a several evaluations parameters. The results show that a very high detection rate for certain attacks types and highest sensitivities with the hybrid dimensionality reduction method.",,978-1-4799-2020-4,,10.1109/IcConSCS.2013.6632048,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6632048,Best First;Dimensionality Reduction;Genetic Search;IDS;KDD99;PART;WEKA,Classification algorithms;Data mining;Genetics;Intrusion detection;Machine learning algorithms;Training,data mining;pattern classification;security of data,IDS;KDD CUP 99 dataset;PART;WEKA;Waikato environment for knowledge analysis;best first search;data mining classification tools;genetic search;hybrid dimensionality reduction method;intrusion detection system evaluation effectiveness;reduced dimensionality reduction;security policy;wired database knowledge discovery data mining,,2,,17,,,26-27 Aug. 2013,,IEEE,IEEE Conference Publications,
A Neural Network Based Anomaly Intrusion Detection System,"Al-Janabi, S.T.F.; Saeed, H.A.","Coll. of Comput., Univ. of Anbar, Ramadi, Iraq","Developments in E-systems Engineering (DeSE), 2011",20120213,2011,,,221,226,"Security system is the immune system for computers which is similar to the immune system in the human body. This includes all operations required to protect computer and systems from intruders. The aim of this work is to develop an anomaly-based intrusion detection system (IDS) that can promptly detect and classify various attacks. Anomaly-based IDSs need to be able to learn the dynamically changing behavior of users or systems. In this paper, we are experimenting with packet behavior as parameters in anomaly intrusion detection. There are several methods to assist IDSs to learn system's behavior. The proposed IDS uses a back propagation artificial neural network (ANN) to learn system's behavior. We have used the KDD'99 data set in our experiments and the obtained results satisfy the work objective.",,978-1-4577-2186-1,,10.1109/DeSE.2011.19,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6149943,IDS;KDD'99;anomaly detection;intrusion;neural network,Artificial neural networks;Computers;Intrusion detection;Monitoring;Testing;Training,backpropagation;neural nets;security of data,ANN;IDS;KDD99 data set;anomaly intrusion detection system;back propagation artificial neural network;computer immune system;human body;security system,,2,,19,,,6-8 Dec. 2011,,IEEE,IEEE Conference Publications,
Modbus/DNP3 State-Based Intrusion Detection System,"Fovino, I.N.; Carcano, A.; De Lacheze Murel, T.; Trombetta, A.; Masera, M.","Joint Res. Center, Inst. for the Protection & Security of the Citizen, Ispra, Italy","Advanced Information Networking and Applications (AINA), 2010 24th IEEE International Conference on",20100601,2010,,,729,736,"The security of Industrial Critical Infrastructures is become a prominent problem with the advent of modern ICT technologies used to improve the performances and the features of the SCADA systems. In this paper we present an innovative approach to the design of Intrusion Detection Systems. The aim is to be able to detect complex attacks to SCADA systems, by monitoring its state evolution. By complex attack, we mean attacks composed of a set of commands that, while licit when considered in isolation on a single-packet basis, can disrupt the correct behavior of the system when executed in particular operating states. The proposed IDS detects these complex attacks thanks to an internal representation of the controlled SCADA system. We also present the corresponding rule language powerful enough to express the system's critical states. Furthermore, we present a prototype of the proposed IDS, able to monitor systems using the ModBus and DNP3 communication protocols.",1550-445X,978-1-4244-6695-5,,10.1109/AINA.2010.86,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5474797,Critical Infrastructure;DNP3;Intrusion Detection;Modbus;SCADA;Security,Control systems;DICOM;Information security;Intrusion detection;Monitoring;Programmable control;Protection;Protocols;SCADA systems;Telecommunication traffic,SCADA systems;protocols;security of data,DNP3 communication protocols;ICT technology;IDS;ModBus;SCADA systems;complex attacks;controlled SCADA system;industrial critical infrastructures;intrusion detection system;rule language,,14,2,15,,,20-23 April 2010,,IEEE,IEEE Conference Publications,
A Common On-board Hardware Architecture for Intrusion Detection System,Chao Kong; Bo Yang; Zhiping Jia; Yuehui Chen,"Sch. of Comput. Sci. & Technol., Shandong Univ., Jinan, China","Multimedia Information Networking and Security, 2009. MINES '09. International Conference on",20091231,2009,2,,386,389,"An intrusion detection system (IDS) implements pattern matching approach on the network traffic to find the malicious packets carrying attack signatures. In this paper, a common field programmable gate array (FPGA) based on-board hardware architecture which is compatible with both ordinary string and perl compatible regular expression (PCRE) pattern matching is proposed to accelerate IDS. Furthermore, a flexible storage structure which is suitable for many general hardware matching algorithms and an optimized combinational logic circuit structure for PCRE matching are designed. With the synchronization of a connection decoder, ordinary string matching module coordinates with PCRE matching module to implement string-PCRE mixed rule.",,978-0-7695-3843-3,978-1-4244-5068-8,10.1109/MINES.2009.66,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5368267,FPGA;IDS;PCRE;pattern matching,Acceleration;Algorithm design and analysis;Combinational circuits;Design optimization;Field programmable gate arrays;Hardware;Intrusion detection;Pattern matching;Programmable logic arrays;Telecommunication traffic,combinational circuits;computer network security;decoding;field programmable gate arrays;string matching;synchronisation;telecommunication traffic,PCRE matching module;attack signatures;connection decoder;field programmable gate array;flexible storage structure;general hardware matching algorithms;intrusion detection system;malicious packets;network traffic;on-board hardware architecture;optimized combinational logic circuit structure;ordinary string matching module;perl compatible regular expression pattern matching;string-PCRE mixed rule;synchronization,,1,,12,,,18-20 Nov. 2009,,IEEE,IEEE Conference Publications,
Multi-classification approach for detecting network attacks,"Kumaravel, A.; Niraisha, M.","Dept. of Comput. Sci. & Eng., Bharath Univ., Chennai, India","Information & Communication Technologies (ICT), 2013 IEEE Conference on",20130715,2013,,,1114,1117,"Intrusion Detection System (IDS) has increasingly become a crucial issue for computer and network systems. Intrusion poses a serious security risk in a network environment. The ever growing new intrusion types pose a serious problem for their detection. The acceptability and usability of Intrusion Detection Systems get seriously affected with the data in network traffic. A large number of false alarms mean a lot in terms of the acceptability of Intrusion Detection Systems[1].In this paper we consider the dataset with multi classes and propose the classification for each type of attacks in a separate layer. In this work, a multi-classification approach for detecting network attacks is designed and developed to achieve high efficiency and improve the detection and classification rate accuracy [6].",,978-1-4673-5759-3,,10.1109/CICT.2013.6558266,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6558266,Classification;DataMining;Intrusion detection system;Layered approach;Network Security,Accuracy;Communications technology;Computers;Conferences;Intrusion detection;Probes;Training,computer network security,classification rate accuracy;computer systems;detecting network attacks;detection rate accuracy;intrusion detection system;multiclassification approach;network systems;security risk,,0,,6,,,11-12 April 2013,,IEEE,IEEE Conference Publications,
Machine Learning Techniques for Feature Reduction in Intrusion Detection Systems: A Comparison,"Bahrololum, M.; Salahi, E.; Khaleghi, M.","IT Security & Syst. Group, Iran Telecommun. Res. Center, Tehran, Iran","Computer Sciences and Convergence Information Technology, 2009. ICCIT '09. Fourth International Conference on",20091231,2009,,,1091,1095,"In recent years, intrusion detection has emerged as an important technique for network security. Machine learning techniques have been applied to the field of intrusion detection. They can learn normal and anomalous patterns from training data and via Feature selection improving classification by searching for the subset of features which best classifies the training data to detect attacks on computer system. The quality of features directly affects the performance of classification. Many feature selection methods introduced to remove redundant and irrelevant features, because raw features may reduce accuracy or robustness of classification. In this paper we compared three methods for feature selection based on Decision trees (DT), Flexible Neural Tree (FNT) and Particle Swarm Optimization (PSO). The results based on comparison of three methods on DARPA KDD99 benchmark dataset indicate that DT has almost better accuracy.",,978-1-4244-5244-6,978-0-7695-3896-9,10.1109/ICCIT.2009.89,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5369962,Decision Tree;Flexible Neural Tree;Intrusion Detection System;Particle Swarm Optimization,Computer networks;Computer security;Computerized monitoring;Data security;Decision trees;Information security;Intrusion detection;Machine learning;Robustness;Training data,decision trees;feature extraction;learning (artificial intelligence);neural nets;particle swarm optimisation;pattern classification;security of data,anomalous patterns;attack detection;computer system;decision trees;feature reduction;feature selection;flexible neural tree;intrusion detection system;machine learning;network security;particle swarm optimization;pattern classification,,4,,8,,,24-26 Nov. 2009,,IEEE,IEEE Conference Publications,
