http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.seconds.QT.%29+AND+.QT.Intrusion+detection+system.QT.%29,11/22/2015 19:09,"((""seconds"") AND ""Intrusion detection system"")",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Research on distributed intrusion detection system based on mobile agent,Jin-Gang Cao; Gu-Ping Zheng,"Dept. of Comput., North China Electr. Power Univ., Baoding","Machine Learning and Cybernetics, 2008 International Conference on",20080905,2008,3,,1394,1399,"The research on distributed intrusion detection system (DIDS) is a rapidly growing area of interest because the existence of centralized intrusion detection system (IDS) is increasingly unfit for the current network circumstance. So we have designed a distributed intrusion detection system prototype, based on mobile agents. Our agents travel between systems in a network, obtain information, analyze and deal with correlative information and send alarm to the manager or user of the DIDS. Since the mobility of the intrusion detection component, the system security and flexibility have been greatly improved, and also the defense capacity of the system is increased.",,978-1-4244-2095-7,978-1-4244-2096-4,10.1109/ICMLC.2008.4620623,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4620623,Mobile agent;distributed intrusion detection system;network security,Computer networks;Cybernetics;Distributed computing;Electronic mail;Information security;Intrusion detection;Machine learning;Mobile agents;Monitoring;Protection,mobile agents;security of data,DIDS;centralized intrusion detection system;distributed intrusion detection system prototype;mobile agent,,2,,14,,,12-15 July 2008,,IEEE,IEEE Conference Publications,
Proposed GA-BFSS and logistic regression based intrusion detection system,"Ghosh, P.; Mitra, R.","Dept. of Inf. Technol., Netaji Subhash Eng. Coll., Kolkata, India","Computer, Communication, Control and Information Technology (C3IT), 2015 Third International Conference on",20150316,2015,,,1,6,"Enormous growth in Internet Technology accelerates sharing of limitless data, service and resources. But along with the innumerable benefits of Internet, a number of serious issues have also taken birth regarding data security, system security and user privacy. A numbers of intruders attempt to gain unauthorized access into computer network. Intrusion Detection System (IDS) is a stronger strategy to provide security. In this paper, we have proposed an efficient IDS by selecting relevant futures from NSL-KDD dataset and using Logistic Regression (LR) based classifier. To decrease memory space and learning time, a feature selection method is required. In this paper we have selected a number of feature sets, using the approach of Genetic Algorithm (GA), with our proposed fitness score based on Mutual Correlation. From the number of feature sets, we have selected the fittest set of features using our proposed Best Feature Set Selection (BFSS) method. After selecting the most relevant features from NSL-KDD data set, we used LR based classification. Thus, an efficient IDS is created by applying the concept of GA with BFSS for feature selection and LR for classification to detect network intrusions.",,978-1-4799-4446-0,,10.1109/C3IT.2015.7060117,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7060117,BFSS;GA;Gradient Descent;IDS;LR;Mutual Correlation;NSL-KDD,Biological cells;Genetic algorithms;Intrusion detection;Logistics;Sociology;Statistics;Training,feature selection;genetic algorithms;pattern classification;regression analysis;security of data,BFSS;GA;IDS;LR classifier;best feature set selection method;genetic algorithm;intrusion detection system;logistic regression;mutual correlation,,0,,19,,,7-8 Feb. 2015,,IEEE,IEEE Conference Publications,
Host-based intrusion detection system,"Vokorokos, L.; Bala&#x0301;z&#x030C;, A.","Dept. of Comput. & Inf., Tech. Univ. of Kosice, Kos&#x030C;ice, Slovakia","Intelligent Engineering Systems (INES), 2010 14th International Conference on",20100614,2010,,,43,47,"The paper presents intrusion detection system which informs system administrator about potential intrusion incidence in a system. The designed architecture employes statistical method of data evaluation, that allows detection based on the knowledge of user activity deviation in the computer system from learned profile representing standard user behavior.",,978-1-4244-7650-3,,10.1109/INES.2010.5483815,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5483815,,Computer architecture;Computer networks;Control systems;Databases;Hardware;Informatics;Intrusion detection;Statistical analysis;Switches;System buses,,,,4,,7,,,5-7 May 2010,,IEEE,IEEE Conference Publications,
Generating representative traffic for intrusion detection system benchmarking,"Kayacik, H.G.; Zincir-Heywood, N.","Fac. of Comput. Sci., Dalhousie Univ., Halifax, NS, Canada","Communication Networks and Services Research Conference, 2005. Proceedings of the 3rd Annual",20050531,2005,,,112,117,"In this paper, a modeling and simulation framework is proposed for generating data for training and testing intrusion detection systems. The framework can develop models of Web usage from Web server logs in a data driven fashion and the actual traffic is generated by employing the Web browser installed on the host. Additionally, we employed an intrusion detection system as a traffic analyzer to validate the synthetic data that the framework generated and compared it against the standard intrusion detection system benchmark data, namely KDD 99 datasets.",,0-7695-2333-1,,10.1109/CNSR.2005.35,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1429954,Intrusion Detection;Markov Models;Network Security;Self-Organizing Maps;Traffic Modeling,Delay;Exponential distribution;Intrusion detection;Probability distribution;Telecommunication traffic;Testing;Training data;Uniform resource locators;Web pages;Web server,Internet;benchmark testing;file servers;online front-ends;security of data;telecommunication security;telecommunication traffic,Web browser;Web server;benchmarking;data driven fashion;intrusion detection system testing;system traffic,,2,,16,,,16-18 May 2005,,IEEE,IEEE Conference Publications,
Statistical analysis of different artificial intelligent techniques applied to Intrusion Detection System,"Tribak, H.; Delgado-Marquez, B.L.; Rojas, P.; Valenzuela, O.; Pomares, H.; Rojas, I.","Dept. of Comput. Archit. & Comput. Technol., Univ. of Granada, Granada, Spain","Multimedia Computing and Systems (ICMCS), 2012 International Conference on",20121004,2012,,,434,440,"Intrusion Detection System (IDS) which are increasingly a key part of system defense are used to identify abnormal activities in a computer system. In general, the traditional IDS relies on the extensive knowledge of security experts, in particular, on their familiarity with the computer system to be protected. To reduce this dependence, various data-mining and machine learning techniques have been used in the literature. The experiments and evaluations of the proposed intrusion detection system are performed with the NSL-KDD intrusion detection dataset. We will apply different learning algorithms on NSL-KDD data set, to recognize between normal and attack connections and compare their performing in different scenarios- discretization, features selections and algorithm method for classification- using a powerful statistical analysis: ANOVA. In this study, both the accuracy of the configuration of different system and methodologies used, and also the computational time and complexity of the methodologies are analyzed.",,978-1-4673-1518-0,,10.1109/ICMCS.2012.6320275,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6320275,Intrusion Detection System;classification systems;soft-computing;statistical analysis,Analysis of variance;Data mining;Hidden Markov models;Ions;Marine animals;Probes;Security,data mining;learning (artificial intelligence);security of data;statistical analysis,ANOVA;NSL-KDD data set;NSL-KDD intrusion detection dataset;abnormal activities;artificial intelligent techniques;computer system;data mining;intrusion detection system;learning algorithms;machine learning;security experts;statistical analysis;system defense,,0,,30,,,10-12 May 2012,,IEEE,IEEE Conference Publications,
Real-Time Intrusion Detection System Based on Self-Organized Maps and Feature Correlations,Hayoung Oh; Kijoon Chae,"Dept. of Comput. Sci. & Eng., Seoul Nat. Univ., Seoul","Convergence and Hybrid Information Technology, 2008. ICCIT '08. Third International Conference on",20081118,2008,2,,1154,1158,"Detecting network intrusion has been not only critical but also difficult in the network security research area. Traditional supervised learning techniques are not appropriate to detect anomalous behaviors and new attacks because of temporal changes in network intrusion patterns and characteristics. Therefore, unsupervised learning techniques such as SOM (self-organizing map) are more appropriate for anomaly detection. In this paper, we proposed a real-time intrusion detection system based on SOM that groups similar data and visualize their clusters. Our system labels the map produced by SOM using correlations between features. We experiments our system with KDD Cup 1999 data set. Our system yields the reasonable misclassification rates and takes 0.5 seconds to decide whether a behavior is normal or attack.",,978-0-7695-3407-7,,10.1109/ICCIT.2008.362,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4682403,Correlations;Coutermeasures;Network Security;Real time Intrusion Detection System;Supervised Learning;Unsupervised Learning,Clustering algorithms;Computer networks;Computer security;Data security;Data visualization;Intrusion detection;Labeling;Neurons;Real time systems;Unsupervised learning,computer networks;real-time systems;self-organising feature maps;telecommunication security,feature correlation;intrusion detection system;network intrusion detection;network security;real-time system;self-organized map,,0,,15,,,11-13 Nov. 2008,,IEEE,IEEE Conference Publications,
NetFlow based intrusion detection system,Tsang-Long Pao; Po-Wei Wang,"Dept. Comput. Sci. & Eng., Tatung Univ., Taipei, Taiwan","Networking, Sensing and Control, 2004 IEEE International Conference on",20040927,2004,2,,731,736 Vol.2,"In this paper, a NetFlow based anomaly intrusion detection system is presented. In addition, guidelines to properly configure and setup network device to minimize the possibilities that network attacks come from inside are also proposed. As the Internet becomes the platform of daily activities, the threat of network attack is also become more serious. Firewall along is not able to protect the system from being attacked through normal service channel. Furthermore, most of the current intrusion detection system focuses on the border of organization network. If the attack comes from inside, this setup does not provide any protection to hosts in the local network and the network itself. Therefore, we need to use other mechanism to protect the critical system as well as the network itself. We propose an inexpensive and easy to implement way to perform the anomaly type intrusion detection based on the NetFlow data exported from the routers or other network probes. Our system can detect several types of network attack from inside or outside and perform counter maneuver accordingly.",1810-7869,0-7803-8193-9,,10.1109/ICNSC.2004.1297037,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1297037,,Application software;Computer science;Hardware;Home computing;IP networks;Intrusion detection;Network servers;Payloads;Protection;Wide area networks,Internet;security of data;telecommunication security,Internet;intrusion detection system;net flow;network attack;network security,,2,,8,,,2004,,IEEE,IEEE Conference Publications,
Hypervisor-based cloud intrusion detection system,"Nikolai, J.; Yong Wang","Coll. of Bus. & Inf. Syst., Dakota State Univ., Madison, SD, USA","Computing, Networking and Communications (ICNC), 2014 International Conference on",20140410,2014,,,989,993,"Shared resources are an essential part of cloud computing. Virtualization and multi-tenancy provide a number of advantages for increasing resource utilization and for providing on demand elasticity. However, these cloud features also raise many security concerns related to cloud computing resources. In this paper, we propose an architecture and approach for leveraging the virtualization technology at the core of cloud computing to perform intrusion detection security using hypervisor performance metrics. Through the use of virtual machine performance metrics gathered from hypervisors, such as packets transmitted/received, block device read/write requests, and CPU utilization, we demonstrate and verify that suspicious activities can be profiled without detailed knowledge of the operating system running within the virtual machines. The proposed hypervisor-based cloud intrusion detection system does not require additional software installed in virtual machines and has many advantages compared to host-based and network based intrusion detection systems which can complement these traditional approaches to intrusion detection.",,,,10.1109/ICCNC.2014.6785472,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6785472,Cloud Computing;hypervisor;intrusion detection,Cloud computing;Computer crime;Intrusion detection;Measurement;Virtual machine monitors;Virtual machining,cloud computing;computer network security;software architecture;software metrics;virtual machines;virtualisation,CPU utilization;block device read requests;block device write requests;cloud computing resources;cloud features;hypervisor performance metrics;hypervisor-based cloud intrusion detection system;intrusion detection security;multitenancy;operating system;packet transmission;received packets;shared resource utilization;virtual machine performance metrics;virtualization;virtualization technology,,1,,16,,,3-6 Feb. 2014,,IEEE,IEEE Conference Publications,
A Novel Cross Layer Intrusion Detection System in MANET,"Shrestha, R.; Kyong-Heon Han; Dong-You Choi; Seung-Jo Han","Dept. of Inf. & Commun. Eng., Chosun Univ., Gwangju, South Korea","Advanced Information Networking and Applications (AINA), 2010 24th IEEE International Conference on",20100601,2010,,,647,654,"Intrusion detection System forms a vital component of internet security. To keep pace with the growing trends, there is a critical need to replace single layer detection technology with multi layer detection. Different types of Denial of Service (DoS) attacks thwart authorized users from gaining access to the networks and we tried to detect as well as alleviate some of those attacks. In this paper, we have proposed a novel cross layer intrusion detection architecture to discover the malicious nodes and different types of DoS attacks by exploiting the information available across different layers of protocol stack in order to improve the accuracy of detection. We have used cooperative anomaly intrusion detection with data mining technique to enhance the proposed architecture. We have implemented fixed width clustering algorithm for efficient detection of the anomalies in the MANET traffic and also generated different types of attacks in the network. The simulation of the proposed architecture is performed in OPNET simulator and we got the result as we expected.",1550-445X,978-1-4244-6695-5,,10.1109/AINA.2010.52,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5474773,AODV;Cross layer;DoS;IDS;MANET,Access protocols;Clustering algorithms;Computer crime;Cross layer design;Data mining;Internet;Intrusion detection;Mobile ad hoc networks;Telecommunication traffic;Traffic control,Internet;ad hoc networks;computer network security;data mining;mobile communication,DoS attacks;Internet security;MANET;OPNET simulator;cooperative anomaly intrusion detection;cross layer intrusion detection system;data mining;denial of service;malicious nodes;multi layer detection;protocol stack,,5,,21,,,20-23 April 2010,,IEEE,IEEE Conference Publications,
Notice of Violation of IEEE Publication Principles<BR>An intrusion detection system for AODV,Baolin Sun; Hua Chen; Layuan Li,"Dept. of Math. & Phys., Wuhan Univ. of Sci. & Eng., China","Engineering of Complex Computer Systems, 2005. ICECCS 2005. Proceedings. 10th IEEE International Conference on",20060116,2005,,,358,365,"Notice of Violation of IEEE Publication Principles<BR><BR>An Intrusion Detection System for AODV<BR>by Baolin Sun, Hua Chen, and Layuan Li, in Proceedings of the 10th International Conference of Engineering of Complex Computer Systems, 2005.<BR><BR>After careful and considered review of the content and authorship ofthis paper by a duly constituted committee, this paper has been foundto be in violation of IEEE?s Publication Principles.<BR><BR> The first author (Baolin Sun) has taken full responsibility and this violation was done without the knowledge of the other authors (Hua Chen and Layuan Li).<BR><BR>This paper contains significant portions of original text from the paper cited below. The original text was copied without attribution (including appropriate references to the original authors and/or paper title) and without permission. Due to the nature of this violation, reasonable effort should be made to remove all past references to this paper, and future references should be made to the following article:<BR><BR>A Specification-Based Intrusion Detection System for AODV<BR>by Chin-Yang Tseng, Poornima Balasubramanyam, Calvin Ko, Rattapon Limprasittiporn, Jeff Rowe and Karl Levitt.<BR>in the Proceedings of the 2003 ACM Workshop on Security of Ad Hoc and Sensor Networks (SASN-2003), Fairfax, VA USA, 31October 2003.<BR>The ad hoc on-demand distance vector (AODV) routing protocol, designed for mobile ad hoc networks, offers quick adaptation to dynamic link conditions, low processing and memory overhead, and low network utilization. However, without keeping in mind the security issues in the protocol design, AODV is vulnerable to various kinds of attacks. Intrusion detection, as the second line of defense, is an indispensable tool for highly survivable networks. This paper analyzes some of the vulnerabilities, specifically discussing attacks against AODV that manipulate the routing messages. We propose a solution based on specification-based intrusion detection t- o detect attacks on AODV. Briefly, our approach involves the use of finite state machines for specifying correct AODV routing behavior and distributed network monitors for detecting run-time violation of the specifications. The simulation results indicate that the proposed approach can effectively detect most of the serious AODV routing attacks effectively, and with low overhead.",,0-7695-2284-X,,10.1109/ICECCS.2005.21,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1467917,,,ad hoc networks;finite state machines;formal specification;mobile radio;routing protocols;security of data;telecommunication security,AODV routing protocol;ad hoc on-demand distance vector;attack detection;distributed network monitors;dynamic link conditions;finite state machines;memory overhead;message routing;mobile ad hoc networks;network attack vulnerability;network survival;network utilization;processing overhead;protocol design;run-time violation;specification-based intrusion detection,,0,,20,,,20-20 June 2005,,IEEE,IEEE Conference Publications,
Intrusion Detection System using Self Organizing Maps,"Pachghare, V.K.; Kulkarni, P.; Nikam, D.M.","Dept. of Comput. Eng., & Inf. Technol., Coll. of Eng. Pune, Pune, India","Intelligent Agent & Multi-Agent Systems, 2009. IAMA 2009. International Conference on",20090901,2009,,,1,5,"With the rapid expansion of computer usage and computer network the security of the computer system has became very important. Every day new kind of attacks are being faced by industries. Many methods have been proposed for the development of intrusion detection system using artificial intelligence technique. In this paper we will have a look at an algorithm based on neural networks that are suitable for Intrusion Detection Systems (IDS). The name of this algorithm is Self Organizing Maps (SOM). Neural networks method is a promising technique which has been used in many classification problems. The neural network component will implement the neural approach, which is based on the assumption that each user is unique and leaves a unique footprint on a computer system when using it. If a user's footprint does not match his/her reference footprint based on normal system activities, the system administrator or security officer can be alerted to a possible security breach. At the end of the paper we will figure out the advantages and disadvantages of Self Organizing Maps and explain how it is useful for building an Intrusion Detection System.",,978-1-4244-4710-7,,10.1109/IAMA.2009.5228074,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5228074,Intrusion Detection System;Neural Networks;Self Organizing Maps,Artificial neural networks;Computer networks;Educational institutions;Event detection;Expert systems;Information technology;Intrusion detection;Neural networks;Self organizing feature maps;Telecommunication traffic,security of data;self-organising feature maps,artificial intelligence technique;classification problems;computer system security;intrusion detection system;neural networks;security breach;self organizing maps,,9,,11,,,22-24 July 2009,,IEEE,IEEE Conference Publications,
The intrusion detection system based on fuzzy association rules mining,Ma Yanchun,"North China Inst. of Sci. & Technol., Beijing-East, China","Computer Engineering and Technology (ICCET), 2010 2nd International Conference on",20100617,2010,7,,V7-667,V7-672,"In this paper, we integrate fuzzy association rules to design and implement an abnormal network intrusion detection system. Since the association rules used in traditional information detection cannot effectively deal with changes in network behavior, it will better meet the actual needs of abnormal detection to introduce the concept of fuzzy association rules to strengthen the adaptability. This paper mainly focuses on the study of Denial of Service (DOS). According to the experimental results, it is found that our system can correctly identify all DOS attacks on test after appropriate adjustment of system parameters. Moreover, it also proves, in the experiment, that our system would not result in false positives under such circumstances as a large amount of instantaneous FTP normal packet flow. In addition, if source of an attacker can be determined, the system will also be able to promptly inform the firewall to alter its rules and cut off the connection.",,978-1-4244-6347-3,,10.1109/ICCET.2010.5485674,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5485674,association Rules;denial-of-service attack;fuzzy association rules;fuzzy theory;network security,Association rules;Computer crime;Data mining;Electronic mail;Fuzzy systems;Intrusion detection;Itemsets;Protection;Real time systems;Transaction databases,authorisation;data mining;fuzzy systems,adaptability;denial of service;firewall;fuzzy association rules mining;information detection;intrusion detection system;normal packet flow;system parameters,,1,,6,,,16-18 April 2010,,IEEE,IEEE Conference Publications,
Implementation of Parallel BACON-MVV method based on Data Decomposition in Intrusion Detection System,"Hiryanto, L.; Muliawan, A.; Herwindiati, D.E.","Lab. of Distrib. Syst., Tarumanagara Univ., Indonesia","Advanced Computer Science and Information System (ICACSIS), 2011 International Conference on",20120126,2011,,,85,90,"In Computer Security area, Intrusion Detection System (IDS) plays important role in detecting any kinds of network attacks. Denial of Service (DoS) and Probing attacks are common detectable intrusions that are frightened by most network users since the final result of these attacks is collapsing the network. Our previous research has proposed a robust statistical method, the BACON-MVV method, that provides 100% accuracy in detecting patterns of DoS and Probing attacks, inspite of the training sets used contains suspicious packet traffic called outliers. One problem not yet being addressed by previous research was the processing time taken as the packet traffics to be analysed for detecting any intrusion grows bigger. In this paper, we propose a Parallel BACON-MVV method based on Data Decomposition to be implemented in IDS. Experiment using our own generated simulation datasets shows that this proposed method runs significantly faster than its serial version.",,978-1-4577-1688-1,,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6140783,,Computers;Covariance matrix;Data models;Intrusion detection;Parallel processing;Robustness;Vectors,computer network security;statistical analysis;telecommunication traffic,DoS;IDS;computer security;data decomposition;denial of service attack;intrusion detection system;network attack;network collapse;packet traffic;parallel BACON-MVV method;parallel BACON-MW method;pattern detection;probing attack;robust statistical method,,0,,9,,,17-18 Dec. 2011,,IEEE,IEEE Conference Publications,
